id,date,username,text,geo
1277675235031031808,2020-06-29 18:48:08+00:00,salvarpinguinos,En el Corte Inglés dicen que es el box tal y como nos ha contando Alf,
1277673678969483264,2020-06-29 18:41:57+00:00,itshinealfred,Si lo compro en el corte inglés me llegará a mí casa aunque es mi ciudad no haya corte inglés?,
1277673314744500224,2020-06-29 18:40:30+00:00,chibisake,Ahh vale ya he visto más abajo cuáles son. Vi una de un He-Man de cristal o algo así en El Corte Inglés pero se la cargaron poniendo una pegatina con chip de las que arrancan el cartón del blister.,
1277672939262038016,2020-06-29 18:39:01+00:00,VALENTINO260419,"☆ 13 de Diciembre del 2020 ☆ PUBLICACIÓN. ▪︎ Bílogia: ETERNOS AMORES y ▪︎ ESENCIA, PASIÓN Y VIDA. A UN PRECIO INCREIBLE: ☆ 3.50€/Libro. ☆ Venta: Amazon, AFNAC y El Corte inglés.(Diciembre/2020) P.V.P.… https://www.instagram.com/p/CCB4OvmnY1H/?igshid=xesa7yz1jaat",
1277672739910942721,2020-06-29 18:38:13+00:00,AwayfromAnn,pero en plan broma porque en el corte ingles no hay o porque no tenemos corte ingles aqui PERO sí hay?????? ,
1277672573875167233,2020-06-29 18:37:34+00:00,Invertia,"Moody's confirma el rating de El Corte Inglés, pero empeora su perspectiva por el Covid ",
1277670393243975681,2020-06-29 18:28:54+00:00,lolesbueotario,"Não sei quem é que mete música no El Corte Inglés, mas há uma semana foi a Emily Burns, hoje foi a rainha da minha existência @dinahjane97 and like........ Please keep going, you're doing an amazing job",
1277670021725069316,2020-06-29 18:27:25+00:00,danceorbeaslave,Me ha podido el ansia y lo he reservado en el corte ingles ,
1277669698235174914,2020-06-29 18:26:08+00:00,EconomiaED_,El Corte Inglés tira de chequera para arreglar su venta online. ,
1277669334010249219,2020-06-29 18:24:41+00:00,ascendentecreti,. y me da una bajada en el corte inglés ahora mismo,
1277669244260495362,2020-06-29 18:24:20+00:00,biRyuven,en el corte inglés (broma),
1277669240959643648,2020-06-29 18:24:19+00:00,airi_ag,La vida pasa...mientras esperas los envíos online de el corte ingles,
1277666755461120007,2020-06-29 18:14:27+00:00,RAMONJOSEREYFER,En el Restaurante de El Corte Inglés se come genial....,
1277666589324836865,2020-06-29 18:13:47+00:00,OkdEconomia,Moody's pone en perspectiva negativa la calificación de El Corte Inglés ,
1277666447469228032,2020-06-29 18:13:13+00:00,okdiario,Moody's pone en perspectiva negativa la calificación de El Corte Inglés https://okdiario.com/economia/5826863-5826863?utm_term=Autofeed&amp;utm_campaign=ok&amp;utm_medium=Social&amp;utm_source=Twitter#Echobox=1593454393,
1277665730482372619,2020-06-29 18:10:22+00:00,RAMONJOSEREYFER,Te gusta ir a El Corte Inglés de Castellana o prefieres el de Serrano 47 Woman.....??,
1277665246501646338,2020-06-29 18:08:27+00:00,remebb2,Yo he puesto qme lo envíen a casa ya que el corte inglés me queda a 90km.,
1277664572602814470,2020-06-29 18:05:46+00:00,buck_nacked,No el corte inglés? A comprar cuecas...,
1277664218578386946,2020-06-29 18:04:22+00:00,MishkaNilo,Es que si no tienes tarjeta de el corte inglés tienes que pagar aparcamiento si o si.,
1277663361635934208,2020-06-29 18:00:57+00:00,SER_Murcia,El Grupo El Corte Inglés dona 2.000 kilos al Banco de Alimentos del Segura https://cadenaser.com/emisora/2020/06/29/radio_murcia/1593435987_170064.html?ssm=tw a través de @SER_Murcia,
1277661011777130498,2020-06-29 17:51:37+00:00,darioleiva1975,"Qué el es Presidente de El Corte Ingles, Dimas Gimeno, miembro reconocido de Falange haya fundando un fondo de inversión que se llama ""Skintelligence Investments"" tiene su punto",
1277660274082930690,2020-06-29 17:48:41+00:00,marticampins,"En El Corte Inglés ya han empezado las rebajas de pelis. Espero cobrar esta semana y ataco, que hay ganas de ampliar la colección",
1277659631641395206,2020-06-29 17:46:08+00:00,AmandaVega1016,1016 En directo: Fin de Gira (Edición Digipack Limitada Firmada) (2 CD + DVD) · UNIVERSAL · El Corte Inglés https://beta.elcorteingles.es/musica/A36047296-1016-en-directo-fin-de-gira-edicion-digipack-limitada-firmada-2-cd--dvd/?utm_medium=web_link,
1277658749931524096,2020-06-29 17:42:38+00:00,Iklaus81,"Ya es ""te va a sudar hasta el coño"" en el corte inglés",
1277653211244048386,2020-06-29 17:20:37+00:00,drjvquintana,Guardar la distancia de seguridad entre los percheros de El Corte Inglés es lo más parecido al juego del comecocos ,
1277651947441528833,2020-06-29 17:15:36+00:00,Eva_IglesiasG,"Si lo mismo desde hace 29 días que ya contactaran conmigo, y así en bucle y sigo con el lavavajillas sin retirar. Tremenda la desantencion al cliente de El Corte Inglés. Un servicio que encima cobráis. Lamentable.",
1277649897798479874,2020-06-29 17:07:27+00:00,FernandoHValls,"Sánchez retoma su agenda internacional. Mañana, Mauritania y el martes, a Portugal con @antoniocostapm. Durante la crisis solo salió de su residencia para ir a Hersill, El Corte Inglés y el CCAES. Y el Congreso, claro.",
