id,date,username,text,geo,valor,fecha
1244701433552949248,2020-03-30 19:02:01+00:00,maria96MCR,Con todo esto del estado de alarma y #COVID19 nos hemos olvidado de lo verdaderamente importante... Es o no es ya primavera en el corte inglés???? O va para septiembre también? ,,0,2020/03/30
1244697243812352006,2020-03-30 18:45:22+00:00,ViajesdeArk,@elcorteingles en respuesta a si recomendamos comprar en el Supermercado de El CORTE INGLÉS https://m.facebook.com/story.php?story_fbid=10217410757484386&amp;id=1338130773?sfnsn=scwshmo&amp;extid=JccFCFmuEubOmfO3,,0,2020/03/30
1244695567260778496,2020-03-30 18:38:43+00:00,Grace91921,@cronicaseltrece mi hermana vive en España trabaja en el Corte Inglés hace 12 años y al tercer día de cuarentena le comunican que la suspenden transitoriamente y que su nómina pasará a pagarle la seguridad social. Aunque duro es así. Se verá cuando pase la pandemia.,,1,2020/03/30
1244695383328133121,2020-03-30 18:37:59+00:00,GeroChiavari,"@elcorteingles hemos hecho un pedido al supermercado de El Corte Ingles hace una semana, tenía que ser entregado esta tarde entre las 16 y las 20 horas. Llevamos más de media hora intentando hablar con el servicio de atención al cliente. Me gustaría recibir sus noticias.",,0,2020/03/30
1244693956929126401,2020-03-30 18:32:19+00:00,CucizLuana,El Corte Inglés cuenta con una serie de políticas que tienen como objetivo establecer los principios generales que deben cumplir los empleados y directivos de las empresas.Ejemplo: prevención de la Comisión de Delitos... @elcorteingles #joemquedoacasa #emprenedorsdesdecasa,,0,2020/03/30
1244693491382390785,2020-03-30 18:30:28+00:00,RamnSenra,"Mañana, a las 12.00h, Pablo e Irene se estarán haciendo pruebas del Covid en el Corte Inglés de Castellana...",,0,2020/03/30
1244692922487967746,2020-03-30 18:28:12+00:00,RamnSenra,Ábalos estará firmando palillos de dientes mañana a las 12.00h en el Corte Inglés de Castellana...,,0,2020/03/30
1244691796728385542,2020-03-30 18:23:44+00:00,2014luiscadiz,La comunión de mi sobrina los curas del colegio de manera unilateral la han pasado a noviembre. Si ellos q están más cerca de Dios dicen noviembre ¿q nos están ocultando los servicios secretos del Vaticano? ¿Tendrán un acuerdo con el corte inglés tallas grandes para mi traje? ,,-1,2020/03/30
1244691352849350657,2020-03-30 18:21:58+00:00,skizo34,Cuando se casó se lo hicieron en el corte inglés.,,0,2020/03/30
1244690722588102658,2020-03-30 18:19:28+00:00,lorenvergarap,"Fabrica de la luz de @Cartagena_Spain. En la Alameda, al lado de lo que hoy, sería el Corte Ingles. Esas chimeneas, supongo que serán la salida de gases de la combustión del Carbón para generar luz, al lado, las mismas, a pleno trabajo. ",,0,2020/03/30
1244690717978628098,2020-03-30 18:19:27+00:00,Navarrainforma,Coronavirus: El BAN y el Corte Inglés de Pamplona donan alimentos a las Hermanitas de los pobres ,,0,2020/03/30
