date,fecha,geo,id,text,username,valor
2020-03-30 19:57:49+00:00,2020/03/30,,1.244715474463703e+18,Normalmente las compro en tienda física de El Corte Inglés ,mspinto92,0.0
2020-03-30 19:55:02+00:00,2020/03/30,,1.2447147748202783e+18,BBVA-Mercadona-Inditex-Santander-El Corte Inglés-SEAT-Ikea-H&amp;M-Garnier-Huawei-Mayoral-Xiaomi-Iberdrola-Iberia-Naturgy-Mango-L’Oreal.. La solidaridad es CAPITALISTA Y tú !? Q has aportado tu? @PabloIglesias @MonederoJC @agarzon @pnique @jordievole @WyomingTV @IreneMontero,JhonSnowDae,0.0
2020-03-30 19:53:00+00:00,2020/03/30,,1.244714263731716e+18,"La periodsta @mmendizabal1, beberá Estrella de Galicia, pero nunca, nunca más pisará El Corte Inglés. Mamen, ERTE o no ERTE. ",ente_pernicioso,0.0
2020-03-30 19:39:37+00:00,2020/03/30,,1.2447108937677947e+18,"Mis vecinos, que para que no falte la colección primavera-verano de El Corte Inglés, los están exponiendo ellos en el rellano. ",marta_escrig,0.0
2020-03-30 19:38:03+00:00,2020/03/30,,1.2447104985090253e+18,El Corte Inglés podría activar un nuevo ERTE http://dlvr.it/RSryNN via @FNW_ES,nextepRetail,0.0
2020-03-30 19:34:57+00:00,2020/03/30,,1.2447097193669386e+18,Ábalos estará firmando palillos de dientes mañana a las 12.00h en el Corte Inglés de Castellana...,RamnSenra,0.0
2020-03-30 19:23:06+00:00,2020/03/30,,1.244706737879425e+18,El Corte Inglés aplica otro ERTE para un máximo de 33.000 personas ,dc5fd0556e6242b,0.0
2020-03-30 19:20:13+00:00,2020/03/30,,1.2447060123444838e+18,[LISTA] 20% descuento en juguetes Jurassic World Lego y Mattel - El Corte Inglés https://www.notengosuelto.com/juguetes-jurassic-world,Notengosuelto,0.0
2020-03-30 19:19:57+00:00,2020/03/30,,1.244705944757588e+18, ÚLTIMA HORA | Pablo Iglesias firmará bloqueos en El Corte Inglés de Preciados. Hará una interrupción a su cuarentena interruptiva. ,Anonimo_Abogado,0.0
2020-03-30 19:12:10+00:00,2020/03/30,,1.2447039879679427e+18,"NICE, puedo hacer la compra online en Carrefour y la recojo el 15 de abril LOL Y El Corte Inglés me cuenta que Atención Primaria no tiene prioridad, que sólo ""primera línea"". Estoy del lenguaje de guerra un poco hasta el moño eh.",julencin2000,1.0
2020-03-30 19:12:07+00:00,2020/03/30,,1.2447039755233935e+18,"Me ha pasado lo mismo hace 15 días y he cogido una Electrolux en el Corte Ingles por poco menos de 300 pavos, y de momento, de maravilla",LuisFelipeP1970,0.0
2020-03-30 19:10:26+00:00,2020/03/30,,1.244703548207706e+18,[LISTA] 20% descuento en juguetes Jurassic World Lego y Mattel - El Corte Inglés https://ift.tt/3bDC1Qi,GAhorra,0.0
2020-03-30 19:02:24+00:00,2020/03/30,,1.244701526599164e+18,"Y si, otras empresas hacen ERTES porque no quieren pagar de sus beneficios como hace Inditex o El Corte Inglés. Tu sigue creyendo que hay dinero en caja, espero que tus cuentas las gestiones más realistamente",TotsUnits1899,0.0
2020-03-30 19:02:01+00:00,2020/03/30,,1.2447014335529492e+18,Con todo esto del estado de alarma y #COVID19 nos hemos olvidado de lo verdaderamente importante... Es o no es ya primavera en el corte inglés???? O va para septiembre también? ,maria96MCR,0.0
2020-03-30 18:45:22+00:00,2020/03/30,,1.244697243812352e+18,@elcorteingles en respuesta a si recomendamos comprar en el Supermercado de El CORTE INGLÉS https://m.facebook.com/story.php?story_fbid=10217410757484386&amp;id=1338130773?sfnsn=scwshmo&amp;extid=JccFCFmuEubOmfO3,ViajesdeArk,0.0
2020-03-30 18:38:43+00:00,2020/03/30,,1.2446955672607785e+18,@cronicaseltrece mi hermana vive en España trabaja en el Corte Inglés hace 12 años y al tercer día de cuarentena le comunican que la suspenden transitoriamente y que su nómina pasará a pagarle la seguridad social. Aunque duro es así. Se verá cuando pase la pandemia.,Grace91921,1.0
2020-03-30 18:37:59+00:00,2020/03/30,,1.244695383328133e+18,"@elcorteingles hemos hecho un pedido al supermercado de El Corte Ingles hace una semana, tenía que ser entregado esta tarde entre las 16 y las 20 horas. Llevamos más de media hora intentando hablar con el servicio de atención al cliente. Me gustaría recibir sus noticias.",GeroChiavari,0.0
2020-03-30 18:32:19+00:00,2020/03/30,,1.2446939569291264e+18,El Corte Inglés cuenta con una serie de políticas que tienen como objetivo establecer los principios generales que deben cumplir los empleados y directivos de las empresas.Ejemplo: prevención de la Comisión de Delitos... @elcorteingles #joemquedoacasa #emprenedorsdesdecasa,CucizLuana,0.0
2020-03-30 18:30:28+00:00,2020/03/30,,1.2446934913823908e+18,"Mañana, a las 12.00h, Pablo e Irene se estarán haciendo pruebas del Covid en el Corte Inglés de Castellana...",RamnSenra,0.0
2020-03-30 18:28:12+00:00,2020/03/30,,1.2446929224879677e+18,Ábalos estará firmando palillos de dientes mañana a las 12.00h en el Corte Inglés de Castellana...,RamnSenra,0.0
2020-03-30 18:23:44+00:00,2020/03/30,,1.2446917967283855e+18,La comunión de mi sobrina los curas del colegio de manera unilateral la han pasado a noviembre. Si ellos q están más cerca de Dios dicen noviembre ¿q nos están ocultando los servicios secretos del Vaticano? ¿Tendrán un acuerdo con el corte inglés tallas grandes para mi traje? ,2014luiscadiz,-1.0
2020-03-30 18:21:58+00:00,2020/03/30,,1.2446913528493507e+18,Cuando se casó se lo hicieron en el corte inglés.,skizo34,0.0
2020-03-30 18:19:28+00:00,2020/03/30,,1.2446907225881027e+18,"Fabrica de la luz de @Cartagena_Spain. En la Alameda, al lado de lo que hoy, sería el Corte Ingles. Esas chimeneas, supongo que serán la salida de gases de la combustión del Carbón para generar luz, al lado, las mismas, a pleno trabajo. ",lorenvergarap,0.0
2020-03-30 18:19:27+00:00,2020/03/30,,1.244690717978628e+18,Coronavirus: El BAN y el Corte Inglés de Pamplona donan alimentos a las Hermanitas de los pobres ,Navarrainforma,0.0
2020-03-30 18:13:57+00:00,2020/03/30,,1.244689337444225e+18,"Aprovéchate. Hasta el 5 de Abril, mi #novela ""El cementerio de los suicidas"" de @esferalibros a 1,99€ en formato digital. #queleer Casa del Libro: https://www.casadellibro.com/ebook-el-cementerio-de-los-suicidas-ebook/9788491645870/9475900 El Corte Inglés: https://www.elcorteingles.es/ebooks/tagus-9788491645870-el-cementerio-de-los-suicidas-ebook/ Fnac/Kobo: https://www.kobo.com/es/es/ebook/el-cementerio-de-los-suicidas Amazon: https://www.amazon.es/cementerio-suicidas-Manuel-Hurtado-Marjalizo-ebook/dp/B07PYX1LFV",Mhurtadomarja,0.0
2020-03-30 18:10:46+00:00,2020/03/30,,1.2446885346042634e+18,Si voy al súper de El Corte Inglés a comprar artículos de papelería estoy haciendo algo ilegal? Es que necesito cosas,LordPineapple98,0.0
2020-03-30 18:10:26+00:00,2020/03/30,,1.244688452177793e+18,Vente a mi pueblo a estrenar el corte inglés niña,Serrannitto,0.0
2020-03-30 18:07:04+00:00,2020/03/30,,1.2446876040644403e+18,"@elcorteinglesac Desde el día 20 de Marzo esperando mi devolución de un pedido que cancele antes de que se enviara. Para cobrar bien rápido que somos, ya si eso se devolverá cuando volvamos a la normalidad. ¡Ojo el corte ingles!",diegoperal85,0.0
